auguzta	augusta
měšnizy	měšnicy
kraleztwo	kralestwo
jeruzalema	jerusalema
chzu	chcu
zyłej	cyłej
ztanu	stanu
khěže	chěže
ssyna	syna
pširunanja	přirunanja
pharizejzzy	farizejscy
khlěba	chlěba
člowjekow	čłowjekow
ztejachu	stejachu
schtó	štó
nječizteho	nječisteho
napšećiwo	napřećiwo
khorych	chorych
ztało	stało
wyššeho	wyšeho
wězy	wěcy
tekzt	tekst
prawizy	prawicy
mězto	město
maćeŕ	maćer
galilejzkeje	galilejskeje
drazty	drasty
cźi	ći
zto	sto
zće	sće
schtož	štož
pšišoł	přišoł
pšinjese	přinjese
pšikaza	přikaza
pšezo	přeco
njejzće	njejsće
khryztusowym	chrystusowym
khodźeše	chodźeše
draztu	drastu
člowjekej	čłowjekej
chzyše	chcyše
chzeće	chceće
ztanyć	stanyć
ztanje	stanje
zčinjeny	sčinjeny
wuztajenje	wustajenje
wumrje	wumrě
winizy	winicy
wězće	wěsće
tzeći	třeći
słónzo	słónco
pšiwjedźechu	přiwjedźechu
pširunanje	přirunanje
pšinjesechu	přinjesechu
pšikazał	přikazał
propheta	profeta
pharizejzkich	farizejskich
měztkow	městow
khlěb	chlěb
khěža	chěža
khapon	kapon
jězć	jěsć
herodaš	herodas
duzy	ducy
chzeš	chceš
ztróžichu	stróžichu
ztronu	stronu
ztaršich	staršich
zkutki	skutki
zazpěwa	zaspěwa
wyššim	wyšim
wyššich	wyšich
wuztupi	wustupi
wunńdźe	wuńdźe
wumrjeł	wumrěł
wozpjet	wospjet
wótz	wótc
wotmolwichu	wotmołwichu
wobztać	wobstać
wězow	wěcow
trojizy	trojicy
ssy	sy
ssyna	syna
ssydom	sydom
puzćiny	pusćiny
pšiztupiwši	přistupiwši
pšišli	přišli
pšišła	přišła
pšinjezć	přinjesć
pšińdźo	přińdźo
pšińdu	přińdu
pšeztrě	přestrě
pšełožene	přełožene
poztanu	postanu
pozćić	posćić
njewězće	njewěsće
nječiztym	nječistym
nazaretha	nacareta
měztow	městow
měztka	městka
mandźelztwo	mandźelstwo
lěwizy	lěwicy
kšiž	křiž
khryzta	chrysta
khori	chori
khlěbow	chlěbow
khěži	chěži
galilejzkej	galilejskej
figowz	figowc
evangeliona	ewangeliona
ćeŕpić	ćerpić
budźe⸗li	budźe-li
bratzja	bratřa
ztworjenja	stworjenja
ztworił	stworił
ztrony	strony
ztarši	starši
ztareho	stareho
ztanuć	stanuć
ztajena	stajena
ztadło	stadło
zpytany	spytany
zpušći	spušći
zpomni	spomni
zpachu	spachu
žónzka	žónska
zkutk	skutk
zkradźu	skradźu
zkałojte	skałojte
zidow	židow
zćinu	sćinu
zakhować	zachować
wuzkhnu	wuschnu
wuzkhnjenu	wuschnjenu
wučizćeny	wučisćeny
woztańće	wostańće
woztajiwši	wostajiwši
wowzy	wowcy
wotkhoriła	wotchoriła
winizu	winicu
winizarjow	winicarjow
winizarjam	winicarjam
wěŕće	wěrće
tzizyći	třiceći
syjeŕ	syjer
šulzkeho	šulskeho
ssym	sym
škleńzu	škleńcu
sidonzkich	sidonskich
šězć	šěsć
pšiwjazane	přiwjazane
pšišłe	přišłe
pširunać	přirunać
pšikaznje	přikaznje
pšikazanje	přikazanje
pšijeli	přijeli
pšiběža	přiběža
pšewjezli	přewjezli
pšewjeze	přewjeze
pšeradźi	přeradźi
pšeradźił	přeradźił
pše	pře
pšedawachu	předawachu
pšećiwny	přećiwny
prophetow	profetow
pózćele	pósćele
paztyrja	pastyrja
njewoztaji	njewostaji
njewotmolwiš	njewotmołwiš
njewotmolwi	njewotmołwi
njekhodź	njechodź
njekhodźi	njechodźi
nječizty	nječisty
nječizći	nječisći
naztróžichu	nastróžichu
mordaŕztwo	mordarstwo
měztach	městach
lět	lět
łamach	łamach
kšižuj	křižuj
kšižowali	křižowali
kšižowachu	křižowachu
kšiža	křiža
kšćenik	křćenik
kšćenika	křćenika
kónzu	kóncu
kónza	kónca
kłazć	kłasć
khudym	chudym
khuda	chuda
khorozć	chorosć
khorozće	chorosće
khodź	chodź
khlěby	chlěby
khěžu	chěžu
khěžorej	chěžorej
huzto	husto
dźowčičzy	dźowčičcy
dwójzy	dwójcy
doztał	dóstał
davitowy	dawidowy
cžas	čas
chzemy	chcemy
čezći	česći
čerztwa	čerstwa
ćeŕpjenju	ćerpjenju
čazto	často
bratzjo	bratřjo
bohatztwo	bohatstwo
blizko	blisko
zyłe	cyłe
ztyzknozć	styzknosć
ztyzkniwy	styskniwy
ztworjenju	stworjenju
ztwjerdnjenu	stwjerdnjenu
ztwjerdnjena	stwjerdnjena
ztup	stup
ztudnja	studnja
ztrowja	strowja
ztronow	stronow
ztrachowachu	strachowachu
ztrachota	strachota
ztoły	stoły
ztejo	stejo
ztejiće	stejiće
zteješe	steješe
ztaže	staže
ztažechu	stažechu
ztawanje	stawanje
ztawał	stawał
ztawaj	stawaj
ztaršim	staršim
ztaršimi	staršimi
ztarozć	starozć
ztare	stare
ztarej	starej
ztaraće	staraće
ztany	stany
ztajichu	stajichu
ztaja	staja
zrozymi	zrozumi
zrozymić	zrozumić
zpytujeće	spytujeće
zpytowanja	spytowanja
zpytawši	spytawši
zpytachu	spytachu
zprawny	sprawny
zprawnym	sprawnym
zpokojenje	spokojenje
zpočatk	spočatk
zpi	spi
zpiš	spiš
zpiće	spiće
zpěwał	spěwał
zpěwaju	spěwaju
zpaše	spaše
zpanja	spanja
zpał	spał
zpać	spać
žónzke	žónske
złóztnikow	złóstnikow
zkoržachu	skoržachu
zkoro	skoro
zkónzowali	skóncowali
zkónzować	skóncować
zkónčenju	skónčenju
zkónčenja	skónčenja
zkóčki	skóčki
zkoči	skoči
zkludźić	skludźić
zkładowaše	składowaše
zkładowachu	składowachu
zkiwlachu	skiwlachu
zkhowachu	schowachu
zkhnje	schnje
zkhadźeše	schadźeše
zkazyć	skazyć
zkazał	skazał
zkały	skały
žiwnozć	žiwnosć
